mergeout,doc,corpus,dir.path,child.age,age_check,type,,,,,,,,
Brent_s2,Brent/s2-1424,Brent,Brent/s2,1;2.24,yes,merge_pnt_age,,,,,,,,
Brent_s3,Brent/s3-1128,Brent,Brent/s3,0;11.28,yes,merge_pnt_age,,,,,,,,
Brent_s3,Brent/s3-1209,Brent,Brent/s3,1;0.09,yes,merge_pnt_age,,,,,,,,
Brent_t1,Brent/t1-0830,Brent,Brent/t1,0;8.30,yes,merge_pnt_age,,,,,,,,
Brent_t1,Brent/t1-0927,Brent,Brent/t1,0;9.27,yes,merge_pnt_age,,,,,,,,
Brent_t1,Brent/t1-1016,Brent,Brent/t1,0;10.16,yes,merge_pnt_age,,,,,,,,
Brent_t1,Brent/t1-1025,Brent,Brent/t1,0;10.25,yes,merge_pnt_age,,,,,,,,
Brent_t1,Brent/t1-1108,Brent,Brent/t1,0;11.08,yes,merge_pnt_age,,,,,,,,
Brent_t1,Brent/t1-1126,Brent,Brent/t1,0;11.26,yes,merge_pnt_age,,,,,,,,
Brent_t1,Brent/t1-1205,Brent,Brent/t1,1;0.05,yes,merge_pnt_age,,,,,,,,
Brent_t1,Brent/t1-1310,Brent,Brent/t1,1;1.10,yes,merge_pnt_age,,,,,,,,
Brent_t1,Brent/t1-1319,Brent,Brent/t1,1;1.19,yes,merge_pnt_age,,,,,,,,
Brent_t1,Brent/t1-1416,Brent,Brent/t1,1;2.16,yes,merge_pnt_age,,,,,,,,
Brent_v1,Brent/v1-0828,Brent,Brent/v1,0;8.28,yes,merge_pnt_age,,,,,,,,
Brent_v1,Brent/v1-0910,Brent,Brent/v1,0;09.10,yes,merge_pnt_age,,,,,,,,
Brent_v1,Brent/v1-1007,Brent,Brent/v1,0;10.07,yes,merge_pnt_age,,,,,,,,
Brent_v1,Brent/v1-1024,Brent,Brent/v1,0;10.24,yes,merge_pnt_age,,,,,,,,
Brent_v1,Brent/v1-1115,Brent,Brent/v1,0;11.15,yes,merge_pnt_age,,,,,,,,
Brent_v1,Brent/v1-1207,Brent,Brent/v1,1;0.07,yes,merge_pnt_age,,,,,,,,
Brent_v1,Brent/v1-1221,Brent,Brent/v1,1;0.21,yes,merge_pnt_age,,,,,,,,
Brent_v1,Brent/v1-1305,Brent,Brent/v1,1;1.05,yes,merge_pnt_age,,,,,,,,
Brent_v1,Brent/v1-1319,Brent,Brent/v1,1;1.19,yes,merge_pnt_age,,,,,,,,
Brent_v1,Brent/v1-1417,Brent,Brent/v1,1;2.17,yes,merge_pnt_age,,,,,,,,
Brent_v1,Brent/v1-1506,Brent,Brent/v1,1;3.06,yes,merge_pnt_age,,,,,,,,
Brent_v2,Brent/v2-0903,Brent,Brent/v2,0;9.03,yes,merge_pnt_age,,,,,,,,
Brent_v2,Brent/v2-1000,Brent,Brent/v2,0;10.0,yes,merge_pnt_age,,,,,,,,
Brent_v2,Brent/v2-1014,Brent,Brent/v2,0;10.14,yes,merge_pnt_age,,,,,,,,
Brent_v2,Brent/v2-1028,Brent,Brent/v2,0;10.28,yes,merge_pnt_age,,,,,,,,
Brent_v2,Brent/v2-1112,Brent,Brent/v2,0;11.12,yes,merge_pnt_age,,,,,,,,
Brent_v2,Brent/v2-1125,Brent,Brent/v2,0;11.25,yes,merge_pnt_age,,,,,,,,
Brent_v2,Brent/v2-1223,Brent,Brent/v2,1;0.23,yes,merge_pnt_age,,,,,,,,
Brent_v2,Brent/v2-1307,Brent,Brent/v2,1;1.07,yes,merge_pnt_age,,,,,,,,
Brent_v2,Brent/v2-1405,Brent,Brent/v2,1;2.05,yes,merge_pnt_age,,,,,,,,
