#Version 2.1 - Updated by Alex Cristia 2015-08-31
agey     .eGi -w
bunnies's    .bAniz6z -w
bunny          .bAni -w
bunny's        .bAniz -w
bunnyegg      .bAni -w .Eg -w
bunnyrabbit      .bAnir&bIt -w
bunnyrabbits      .bAnir&bIts -w
bunnys          .bAniz -w
buns              .bAnz -w
bunting         .bAntIN -w
buried           .b*id -w
burke           .b3k -w
burn           .b3n -w
burned       .b3nd -w
burning       .b3nIN -w
burnt          .b3nt -w
burp           .b3p -w
burped        .b3pt -w
burper        .b3pR -w
burpie        .b3pi -w
burping      .b3pIN -w
burps         .b3ps -w
burrow      .b3o -w
burt          .b3t -w
bury         .b*i -w
bus             .bAs -w
buses          .bAsIz -w
bush           .bUS -w
bushed        .bUSt -w
bushel         .bUSL -w
bushes         .bUSIz -w
business      .bIzn6s -w
businesses   .bIzn6s6z -w
bust            .bAst -w
busted          .bAst6d -w
buster         .bAstR -w
busting          .bAstIN -w
busts            .bAsts -w
busy           .bIzi -w
but            .bAt -w
but's          .bAts -w
buts          .bAts -w
butt           .bAt -w
butter         .bAtR -w
butterball     .bAtRbOl -w
butterflies    .bAtRfl9z -w
butterfly      .bAtRfl9 -w
butternut      .bAtRnAt -w
butternutie@n    .bAtRnAti -w
button         .bAt~ -w
buttoned       .bAt~d -w
buttonhole     .bAt~hol -w
buttoning      .bAt~IN -w
buttons        .bAt~z -w
butts       .bAts -w
buttsie     .bAtsi -w
buy            .b9 -w
buying        .b9IN -w
buys             .b9z -w
buzz      .bAz -w
buzzing     .bAzIN -w
by             .b9 -w
bye            .b9 -w
byebye        .b9b9 -w
byebyes      .b9b9z -w
c             .si -w
c@l            .si -w
cabbage       .k&b6G -w
cabinet        .k&b6nIt -w
cabinets       .k&b6nIts -w
cable       .kebL -w
caboose     .k6bus -w
cactus       .k&kt6s -w
cafeteria           .k&fIt(ri6 -w
cage           .keG -w
cages          .keGIz -w
cake           .kek -w
cake's        .keks -w
cakes          .keks -w
cakie       .keki -w
caking@n     .kekIN -w
calcium        .k&lsi6m -w
calculator     .k&lkyuletR -w
calendar      .k&lEndR -w
calf       .k&f -w
california     .k&l6f%ny6 -w
call           .kOl -w
called         .kOld -w
calling        .kOlIN -w
calls          .kOlz -w
calm       .kalm -w
calories      .k&l%iz -w
calvary       .k&lv6ri -w
came           .kem -w
camel         .k&mL -w
camels      .k&mLz -w
camelia         .k6mily6 -w
camelias         .k6mily6z -w
camelia's         .k6mily6z -w
camera       .k&m6r6 -w
cameras     .k&m6r6z -w
camp          .k&mp -w
campain          .k&mpen -w
campbell     .k&mbL -w
camped     .k&mpt -w
camping     .k&mpIN -w
camps         .k&mps -w
campus         .k&mp6s -w
can            .k&n -w
can't          .k&nt -w
cancel      .k&nsL -w
candidate      .k&ndIdet -w
candies      .k&ndiz -w
candle       .k&ndL -w
candles      .k&ndLz -w
candy         .k&ndi -w
cane        .ken -w
cannot     .k&nat -w
cans        .k&nz -w
cantaloupe    .k&nt6lop -w
canton         .k&nt~ -w
cap            .k&p -w
capable        .kep6bL -w
cape            .kep -w
capris       .k6priz -w
captain        .k&pt~ -w
car            .k# -w
car's         .k#z -w
carbonation   .k#b6neS~ -w
card           .k#d -w
cardboard      .k#db%d -w
cardinal        .k#d6nL -w
cardinals      .k#d6nLz -w
cards          .k#dz -w
care           .k* -w
careening     .k6rinIN -w
career           .k6r3 -w
careful        .k*fL -w
carefully      .k*fLi -w
cares          .k*z -w
carl       .k#l -w
carly       .k#li -w
carlos       .k#los -w
carmen     .k#m~ -w
carol       .k*L -w
carpet      .k#p6t -w
carriage     .k*6G -w
carrie       .k*i -w
carried        .k*id -w
carries        .k*iz -w
carrot         .k*6t -w
carrots        .k*6ts -w
carry          .k*i -w
carrying     .k*riIN -w
cars           .k#z -w
carseat      .k#sit -w
carson      .k#s6n -w
cart            .k#t -w
carton    .k#t~ -w
cartoon        .k#tun -w
cartoons        .k#tunz -w
carts          .k#ts -w
case           .kes -w
cases         .kes6z -w
cassy          .k&si -w
castle         .k&sL -w
castles        .k&sLz -w
casts     .k&sts -w
cat            .k&t -w
cat's          .k&ts -w
catalogs     .k&t6lagz -w
catalogue    .k&t6lag -w
catastrophe  .k6t&str6fi -w
catch          .k&c -w
catcher       .k&cR -w
catches       .k&c6z -w
catching       .k&cIN -w
catdoor      .k&td% -w
categorical    .k&tIg%IkL -w
categories     .k&tIg%iz -w
caterpillar    .k&tRpIlR -w
caterpillars     .k&tRpIlRz -w
catholic     .k&T6lIk -w
catnaping     .k&tn&pIN -w
cats           .k&ts -w
caught         .kOt -w
cauliflower    .kOliflQR -w
'cause          .kOz -w
cause          .kOz -w
causing      .kOzIN -w
cavalry       .k&vLri -w
cave         .kev -w
caves          .kevz -w
caw            .kO -w
cdefg@k       .si -w .di -w .i -w .Ef -w .Gi -w
cecilia        .sIsily6 -w
ceiling        .silIN -w
ceilings       .silINs -w
celebrate      .sEl6bret -w
celebrated      .sEl6bret6d -w
celebrates       .sEl6brets -w
celebrating       .sEl6bretIN -w
celebration       .sEl6breS~ -w
celery           .sElRi -w
cell        .sEl -w
cells      .sElz -w
cement     .sImEnt -w
cent        .sEnt -w
center          .sEntR -w
centered       .sEntRd -w
centering       .sEntRIN -w
centers           .sEntRz -w
centipede       .sEntIpid -w
cents          .sEnts -w
century       .sEnc3i -w
cereal         .s(iL -w
cereal's        .s(iLz -w 
cereals          .s(iLz -w
certain        .s3t~ -w
certainly     .s3t~li -w
certificate     .s3tIf6c6t -w
chafing        .cefIN -w
chain          .cen -w
chains        .cenz -w
chair          .c* -w
chairs         .c*z -w
chalk         .cak -w
chalkboard     .cakb%d -w
challenge        .c&lEnG -w
challenging     .c&lEnGIN -w
chance         .c&nts -w
chances        .c&nts6z -w
change         .cenG -w
changed        .cenGd -w
changes        .cenG6z -w
changing       .cenGIN -w
channel          .c&nL -w
channels         .c&nLz -w
chap          .c&p -w
character      .k*IktR -w
characteristic .k*Ikt6rIstIk -w
characters     .k*IktRz -w
charge            .c#G -w
charged          .c#Gd -w
charges           .c#G6z -w
charging          .c#GIN -w
charlie       .c#li -w
charm      .c#m -w
charming   .c#mIN -w
chart       .c#t -w
chase           .ces -w
chased        .cest -w
chases        .ces6z -w
chasing      .cesIN -w
chat       .c&t -w
cheap           .cip -w
check           .cEk -w
checkbook        .cEkbUk -w
checkbook's       .cEkbUks -w
checkbooks       .cEkbUks -w
checked     .cEkt -w
checking     .cEkIN -w
checkout           .cEkQt -w
checks     .cEks -w
chee      .ci -w
cheek          .cik -w
cheekie    .ciki -w
cheekies    .cikiz -w
cheeks         .ciks -w
cheep      .cip -w
cheer      .c( -w
cheerful   .c(fL -w
cheerio     .c(io -w
cheerio's    .c(ioz -w
cheerios       .c(ioz -w
cheers     .c(z -w
cheery     .c(i -w
cheese         .ciz -w
cheeseburger    .cizb3gR -w
cheesy         .cizi -w
cheeto     .cito -w
chef     .SEf -w
chemistry     .kEmIstri -w
cherry     .cEri -w
cherries     .cEriz -w
cherrio     .cErio -w
chest      .cEst -w
chester    .cEstR -w
chew           .cu -w
chewed     .cud -w
chewing      .cuwIN -w
chews     .cuz -w
chewy          .cuwi -w
chi    .ci -w
chichi           .cici -w
chichi's          .ciciz -w
chick          .cIk -w
chick's     .cIks -w
chickadee      .cIk6di -w
chicken        .cIk~ -w
chickennoodle   .cIk~ -w .nudL -w
chickens       .cIk~z -w
chickie      .cIki -w
chickie's     .cIkiz -w
chickies       .cIkiz -w
chicks         .cIks -w
chico          .ciko -w
chihuahua     .ciwawa -w
chikada      .cIk&d6 -w
child          .c9ld -w
children       .cIldr~ -w
chili        .cIli -w
chill      .cIl -w
chillier     .cIliR -w
chilling    .cIlIN -w
chillon     .cIl~ -w
chilly          .cIli -w
chime     .c9m -w
chimes    .c9mz -w
chimney    .cImni -w
chimp     .cImp -w
chimpanzee      .cImp&nzi -w
chin           .cIn -w
china      .c9n6 -w
chinese     .c9niz -w
chinie        .cIni -w
chinnie       .cIni -w
chip           .cIp -w
chipmunks   .cIpmANks -w
chips          .cIps -w
chirp      .c3p -w
chirping     .c3pIN -w
chitlins      .cItL~z -w
chocolate      .cOklIt -w
choice           .c7s -w
choices         .c7s6z -w
choke           .cok -w
choking       .cokIN -w
cholesterol      .k6lEstRal -w
chomp          .cOmp -w
choo      .cu -w
choo@o     .cu -w
chooc@o      .cuk -w
choochoo       .cu -w .cu -w
choochoo@o    .cu -w .cu -w
choose        .cuz -w
chop         .cap -w
chopped     .capt -w
chore     .c% -w
chores         .c%z -w
chose          .coz -w
chris       .krIs -w
christ       .kr9st -w
christian        .krIsty6n -w
christened      .krIs~d -w
christening     .krIs~IN -w
christmas      .krIsm6s -w
christopher    .krIst6fR -w
chubby         .cAbi -w
chuckie        .cAki -w
chuck's        .cAks -w
chugga@o      .cAg6 -w
chunky      .cANki -w
church           .cRc -w
churches       .cRc6z -w
chute         .Sut -w
cigarette      .sIg6rEt -w
cinderella       .sInd6rEl6 -w
cinderella's     .sind6rEl6z -w
cindy          .sIndi -w
cindy's        .sIndiz -w
cinnamon     .sIn6m~ -w
circle          .s3kL -w
circled       .s3kLd -w
circles        .s3kLz -w
circular      .s3kyulR -w
circulation    .s3kyuleS~ -w
circumstances  .s3kMst&nsIz -w
circus           .s3k6s -w
citrus        .sItr6s -w
cities            .sItiz -w
city            .sIti -w
civil   .sIv6l -w
civilization   .sIv6l6zeS~ -w
civilized      .sIv6l9zd -w
claire             .kl* -w
clamp       .kl&mp -w
clap             .kl&p -w
clappie        .kl&pi -w
clapping       .kl&pIN -w
clara          .kl&sr6 -w
claira          .kl&sr6 -w
class          .kl&s -w
classes          .kl&sIz -w
classroom          .kl&srum -w
clattering     .kl&tRIN -w
claus          .klOz -w
clay           .kle -w
clean          .klin -w
cleaned        .klind -w
cleaner        .klinR -w
cleaner's       .klinRz -w
cleanest     .klinEst -w
cleaning       .klinIN -w
cleans         .klinz -w
cleanup        .klinAp -w
clear          .kl( -w
clearance      .kl(6nz -w
cleared      .kl(d -w
clearer       .kl(R -w
clearly        .kl(li -w
clever       .klEvR -w
click        .klIk -w
clicker      .klIkR -w
clicking       .klIkIN -w
clifford        .klIf3d -w
clifford's     .klIf3dz -w
climb          .kl9m -w
climbed        .kl9md -w
climber        .kl9mR -w
climbing       .kl9mIN -w
climbs         .kl9mz -w
clings         .klIN -w
clinic           .klInIk -w
clinics          .klInIks -w
clink         .klINk -w
clinking     .klINkIN -w
clinton         .klInt~ -w
clintonville         .klInt~vIl -w
clip            .klIp -w
clipped      .klIpt -w
clippers      .klIpRz -w
clipping      .klIpIN -w
clips         .klIps -w
cloaks        .kloks -w
clobber        .klabR -w
clock          .klak -w
cloey          .kloi -w
clop            .klap -w
close          .kloz -w
closed         .klozd -w
closely        .klosli -w
closer          .klosR -w
closes       .kloz6z -w
closet          .klOzIt -w
closing      .klozIN -w
cloth          .klOT -w
clothes        .kloz -w
clothespin        .klozpIn -w
clothespins        .klozpInz -w
clothing       .kloDIN -w
cloud       .klQd -w
clouding    .klQdIN -w
clouds         .klQdz -w
cloudy        .klQdi -w
clover        .klovR -w
clown          .klQn -w
clowns         .klQnz -w
club            .klAb -w
cluck         .klAk -w
clue         .klu -w
clues       .kluz -w
clumps      .klAmps -w
clumpy       .klAmpi -w
clumsily     .klAmsIli -w
clunk         .klANk -w
clunky       .klANki -w
clutter        .klAtR -w
cluttering     .klAtRIN -w
coach           .koc -w
coaster      .kostR -w
coasters      .kostRz -w
coat           .kot -w
coats          .kots -w
cob            .kab -w
cobweb     .kabwEb -w
cobwebs    .kabwEbz -w
coca           .kok6 -w
cocaine          .koken -w
cocaine's          .kokenz -w
cock          .kak -w
cockadoodledoo    .kak6dudLdu -w
cockle     .kakL -w
coco      .koko -w
cocoa      .koko -w
cocoon      .k6kun -w
code           .kod -w
coffee         .kOfi -w
coins         .k7nz -w
coke          .kok -w
cola         .kol6 -w
colada      .kolad6 -w
cold           .kold -w
cold's          .koldz -w
colder      .koldR -w
coleman      .kolm~ -w
colin           .kalIn -w
collapse     .k6l&ps -w
collar       .kalR -w
collect     .k6lEkt -w
collection    .k6lEkS~ -w
college       .kal6G -w
collin       .kal~ -w
color          .kAlR -w
colour          .kAlR -w
colours          .kAlRz -w
color's        .kAlRz -w
colored        .kAlRd -w
colorful      .kAlRfL -w
coloring       .kAlRIN -w
colors         .kAlRz -w
colts        .kolts -w
columbus       .kalAmb6s -w
column       .kalAm -w
columns      .kalAmz -w
comb           .kom -w
combed         .komd -w
combie       .kombi -w
combination   .kambIneS~ -w
combine       .kMb9n -w
combing        .komIN -w
combs          .komz -w
c'mon           .kAman -w
come           .kAm -w
comedy         .kam6di -w
comes          .kAmz -w
comfort        .kAmf3t -w
comfortable    .kAmftRbL -w
comfortably      .kAmftRbli -w
comforter     .kAmf3tR -w
comforting     .kAmf3tIN -w
comfy        .kAmfi -w
coming         .kAmIN -w
commanded   .k6m&nd6d -w
commander     .k6m&ndR -w
comment       .kamEnt -w
commercial      .k6mRSL -w
commercials     .k6mRSLz -w
common         .kam~ -w
communicate     .k6myunIket -w
communication    .k6myunIkeS~ -w
communications    .k6myunIkeS~z -w
community     .k6myunIti -w
company        .kMp6ni -w
compared       .kMp*d -w
complain      .kMplen -w
complained      .kMplend -w
complaining    .kMplenIN -w
complains     .kMplenz -w
complete         .kMplit -w
completed      .kMplit6d -w
completely     .kMplitli -w
complicated    .kamplIket6d -w
complication    .kamplIkeS~ -w
computer       .kMpyutR -w
computers       .kMpyutRz -w
concentrate     .kans~tret -w
concentrating  .kans~tretIN -w
concentric      .k~sEntrIk -w
concept        .kansEpt -w
concerned     .k~s3nd -w
concerns       .k~s3nz -w
concert          .kansRt -w
concerts         .kansRts -w
condensation   .kandEnseS~ -w
conditioner     .k~dIS~R -w
conditioning    .k~dIS~IN -w
condo      .kando -w
condos      .kandoz -w
cone             .kon -w
confident     .kanfIdEnt -w
confuse        .k~fyuz -w
confused       .k~fyuzd -w
confusing      .k~fyuzIN -w
congestion     .k~GEsc~ -w
congratulate    .k~gr&culet -w
connect        .k6nEkt -w
connecting     .k6nEktIN -w
connection     .k6nEkS~ -w
connections    .k6nEkS~z -w
connie     .kani -w
connotes       .k6nots -w
conscious      .kanS6s -w
conservative          .k~sRv6tIv -w
consider        .k~sIdR -w
considerate    .k~sIdR6t -w
considered     .k~sIdRd -w
considering    .k~sIdRIN -w
considers      .k~sIdRz -w
consistent     .k~sIst~t -w
consistently   .k~sIst~tli -w
conspiracy     .k~sp36si -w
constant     .kanst~t -w
constantly     .kanst~tli -w
constellation  .kanst6leS~ -w
construct      .k~strAkt -w
contact        .kant&kt -w
contain          .k~ten -w
containable    .k~ten6bL -w
contained        .k~tend -w
container       .k~tenR -w
containers     .k~tenRz -w
containing        .k~tenIN -w
contains          .k~tenz -w
content        .kantEnt -w
contents      .kantEnts -w
context        .kantEkst -w
continually    .k~tInyu6li -w
continue       .k~tInyu -w
continued     .k~tInyud -w
contrary       .kantr*i -w
control        .k~trol -w
controlled     .k~trold -w
controller      .k~trolR -w
controls        .k~trolz -w
convenience    .k~vinyEnts -w
conversation   .kanvRseS~ -w
conversations  .kanvRseS~z -w
cook           .kUk -w
cooked        .kUkt -w
cookie         .kUki -w
cookies        .kUkiz -w
cooking        .kUkIN -w
cooks          .kUks -w
cool      .kul -w
cooled    .kuld -w
cooler     .kulR -w
cooling    .kulIN -w
coop     .kup -w
cooperate   .koapRet -w
cooperating   .koapRetIN -w
cooperative    .koapR6tIv -w
coordinate      .ko#dInet -w
coordination    .ko#dIneS~ -w
copy    .kapi -w
copied    .kapid -w
coppertone    .kapRton -w
cops           .kaps -w
copyright    .kapir9t -w
coral       .k#L -w
cord           .k%d -w
cords     .k%dz -w
corduroy       .k%d6r7 -w
corduroy's     .k%d6r7z -w
corey       .k#i -w
cork          .k%k -w
corked      .k%kt -w
corn              .k%n -w
