#Version 2.1 - Updated by Alex Cristia 2015-08-31
agey     .eGi -w
boboon         .bobun -w
boboonie       .bobuni -w
body           .badi -w
bog         .bag -w
bogus      .bogAs -w
boil          .b7l -w
boiled       .b7ld -w
boiling        .b7lIN -w
boing          .b7N -w
bologna        .b6loni -w
bond         .band -w
bone        .bon -w
boneen      .bonin -w
boneen's     .boninz -w
boneene      .bonin -w
boneeno       .bonino -w
bones          .bonz -w
bong          .baN -w
bongo        .baNgo -w
bongos        .baNgoz -w
bonk            .baNk -w
bonked       .baNkt -w
bonkie         .baNki -w
bonking       .baNkIN -w
bonnet          .banIt -w
bonny           .bani -w
bony           .boni -w
boo          .bu -w
boobie      .bubi -w
booboo         .bubu -w
boobooing@n    .bubuIN -w
booboon      .bubun -w
booboon's      .bubunz -w
booboonee     .bubuni -w
boobooneen     .bubunin -w
boobooneen's   .bubuninz -w
boobooneeno    .bubunino -w
booboonino       .bubunino -w
booboos         .bubuz -w
boobooshas   .bubuS6z -w
booger          .bUgR -w
boogers        .bUgRz -w
boogie          .bUgi -w
boogies       .bUgiz -w
boogyman        .bUgim&n -w
book           .bUk -w
bookbag      .bUkb&g -w
bookcase       .bUkkes -w
bookie          .bUki -w
bookies         .bUkiz -w
books          .bUks -w
boom           .bum -w
boom@o     .bum -w
boomdie      .bumdi -w
boomerang     .bum6r&N -w
booms         .bumz -w
boomsie        .bumzi -w
booneenie      .bunini -w
boonie          .buni -w
boop         .bup -w
boops@o     .bups -w
boopsieboo    .bupsibu -w
boosh            .buS -w
booshaboosh     .buS6buS -w
boost        .bust -w
booster      .bustR -w
boot            .but -w
bootiebooshas     .butibuS6z -w
booties     .butiz -w
boots          .buts -w
booty          .buti -w
bop      .bap -w
bop's     .baps -w
boppety    .bap6ti -w
bored          .b%d -w
boring         .b%IN -w
born         .b#n -w
borrowed     .barod -w
borrowing      .barowIn -w
bossing         .basIN -w
boston          .bastN -w
both           .boT -w
bother         .baDR -w
bothered       .baDRd -w
bothering      .baDRIN -w
bothers        .baDRz -w
bottle         .batL -w
bottles         .batLz -w
bottom         .batM -w
bottoms       .batMz -w
bough           .bQ -w
bought        .bOt -w
bounce        .bQnts -w
bounced       .bQntst -w
bouncer       .bQntsR -w
bounces       .bQnts6z -w
bouncie       .bQntsi -w
bouncing      .bQntsIN -w
bouncy          .bQntsi -w
bounder         .bQndR -w
